threshold,ticker,trade_type,sim_exit_time,sim_exit_price,sim_return_pct,sim_duration_minutes,actual_exit_time,actual_exit_price,actual_return_pct,actual_duration_minutes,return_delta_pct,duration_delta_minutes,was_winner,is_winner,outcome_changed,macd_peak_valley,macd_exit_level,original_index
0.75,ASIANPAINT,Buy,2024-05-23 10:05:00,2889.05,-0.30883367839888953,10.0,2024-05-23 10:05:00,2889.05,-0.3088336783988895,10.0,-5.551115123125783e-17,0.0,False,False,False,9.586798409858602,7.190098807393952,4370
0.75,ASIANPAINT,Buy,2024-05-23 15:15:00,2909.15,0.09978494623656227,10.0,2024-05-23 15:15:00,2909.15,0.0997849462365622,10.0,6.938893903907228e-17,0.0,True,True,False,3.8149548305877934,2.861216122940845,4371
0.75,ASIANPAINT,Buy,2024-05-24 09:20:00,2896.1,-0.18439056333901702,5.0,2024-05-24 09:20:00,2896.1,-0.184390563339017,5.0,-2.7755575615628914e-17,0.0,False,False,False,3.457974180213114,2.5934806351598354,4372
0.75,ASIANPAINT,Buy,2024-05-27 12:50:00,2894.9,0.3049097397872625,60.0,2024-05-27 12:50:00,2894.9,0.3049097397872625,60.0,0.0,0.0,True,True,False,2.216838728647417,1.6626290464855629,4377
0.75,ASIANPAINT,Buy,2024-05-27 13:05:00,2883.2,-0.09355833535466485,10.0,2024-05-27 13:05:00,2883.2,-0.0935583353546648,10.0,-4.163336342344337e-17,0.0,False,False,False,2.21644795446673,1.6623359658500476,4378
0.75,ASIANPAINT,Buy,2024-05-28 15:05:00,2902.45,0.7095766828591193,240.0,2024-05-28 15:05:00,2902.45,0.7095766828591193,240.0,0.0,0.0,True,True,False,7.663256366468431,5.747442274851323,4381
0.75,ASIANPAINT,Buy,2024-05-29 09:20:00,2891.75,0.2339688041594454,5.0,2024-05-29 09:20:00,2891.75,0.2339688041594454,5.0,0.0,0.0,True,True,False,6.502328100711111,4.876746075533333,4382
0.75,ASIANPAINT,Buy,2024-05-29 12:50:00,2910.9,0.05843530867593404,45.0,2024-05-29 12:50:00,2910.9,0.058435308675934,45.0,4.163336342344337e-17,0.0,True,True,False,4.334333220027929,3.250749915020947,4383
0.75,ASIANPAINT,Buy,2024-05-29 13:50:00,2913.15,0.1306133672469858,55.0,2024-05-29 13:50:00,2913.15,0.1306133672469858,55.0,0.0,0.0,True,True,False,5.545779454570038,4.1593345909275286,4384
0.75,ASIANPAINT,Buy,2024-05-30 12:50:00,2903.05,0.0,0.0,2024-05-30 13:05:00,2899.45,-0.1240075093436338,15.0,0.1240075093436338,-15.0,False,False,False,-0.182892030838957,-0.13716902312921775,4386
