trade_id,ticker,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,strategy
BANKNIFTY_0078,BANKNIFTY,2025-07-31T12:45:00+05:30,2025-08-01T15:15:00+05:30,LONG,56299.1,55636.15,10,-6779.5,phase4_full_backtest
NIFTY_0078,NIFTY,2025-07-31T13:00:00+05:30,2025-08-01T15:15:00+05:30,SHORT,24900.45,24572.15,10,3133.0,phase4_full_backtest
TCS_0078,TCS,2025-07-31T13:30:00+05:30,2025-08-01T15:15:00+05:30,SHORT,3050.2,3001.1,10,341.0,phase4_full_backtest
NIFTY_0079,NIFTY,2025-08-01T10:30:00+05:30,2025-08-04T10:30:00+05:30,SHORT,24769.45,24641.65,10,1128.0,phase4_full_backtest
BANKNIFTY_0079,BANKNIFTY,2025-08-01T11:45:00+05:30,2025-08-04T11:45:00+05:30,LONG,55834.3,55657.55,10,-1917.5,phase4_full_backtest
RELIANCE_0079,RELIANCE,2025-08-01T11:45:00+05:30,2025-08-04T11:45:00+05:30,LONG,1398.0,1412.9,10,-1.0,phase4_full_backtest
TCS_0079,TCS,2025-08-01T11:45:00+05:30,2025-08-04T11:45:00+05:30,LONG,3015.5,3023.7,10,-68.0,phase4_full_backtest
INFY_0079,INFY,2025-08-01T12:30:00+05:30,2025-08-04T12:30:00+05:30,SHORT,1473.7,1464.5,10,-58.0,phase4_full_backtest
BANKNIFTY_0080,BANKNIFTY,2025-08-04T12:30:00+05:30,2025-08-07T12:30:00+05:30,SHORT,55649.1,55136.8,10,4973.0,phase4_full_backtest
NIFTY_0080,NIFTY,2025-08-04T13:15:00+05:30,2025-08-07T13:15:00+05:30,SHORT,24668.8,24358.0,10,2958.0,phase4_full_backtest
TCS_0080,TCS,2025-08-04T14:45:00+05:30,2025-08-07T11:45:00+05:30,SHORT,3071.8,3019.3,10,375.0,phase4_full_backtest
INFY_0080,INFY,2025-08-05T09:15:00+05:30,2025-08-08T09:15:00+05:30,SHORT,1472.1,1425.1,10,320.0,phase4_full_backtest
RELIANCE_0080,RELIANCE,2025-08-05T09:15:00+05:30,2025-08-07T12:15:00+05:30,SHORT,1400.5,1380.6,10,49.0,phase4_full_backtest
NIFTY_0081,NIFTY,2025-08-05T12:15:00+05:30,2025-08-08T11:30:00+05:30,SHORT,24657.1,24431.8,10,2103.0,phase4_full_backtest
TCS_0081,TCS,2025-08-05T13:45:00+05:30,2025-08-08T13:45:00+05:30,SHORT,3058.8,3040.1,10,37.0,phase4_full_backtest
BANKNIFTY_0081,BANKNIFTY,2025-08-05T14:00:00+05:30,2025-08-08T14:00:00+05:30,SHORT,55250.35,55122.05,10,1133.0,phase4_full_backtest
INFY_0081,INFY,2025-08-05T14:15:00+05:30,2025-08-08T14:15:00+05:30,LONG,1460.1,1425.9,10,-492.0,phase4_full_backtest
RELIANCE_0081,RELIANCE,2025-08-06T09:15:00+05:30,2025-08-08T15:15:00+05:30,LONG,1389.3,1366.2,10,-381.0,phase4_full_backtest
